,Country,Region,Year,Ladder,Log GDP,Social Supp,Life expectancy,Freedom,generosity,Corruption,Violence,Rate Beds,Rate Medical,Rate Nursing,Rate Dentists,poverty_gap,poverty_severity,gini
301,China,East Asia,2014,5.196,9.386,0.82,68.24,0.556,-0.217,0.814,-0.522584021,35.5,17.145,21.688,,0.0070142594772459,0.0024144634737651,0.3375639043376067
302,China,East Asia,2014,5.196,9.386,0.82,68.24,0.556,-0.217,0.814,-0.522584021,35.5,17.145,21.688,,0.0019036998040371,0.0010821023753408,0.3642967482734101
303,China,East Asia,2013,5.241,9.319,0.778,68.08,0.805,-0.158,0.866,-0.543789923,32.9,16.611,20.225,,0.0054076801160752,0.0018861292087236,0.397363984203548
304,China,East Asia,2013,5.241,9.319,0.778,68.08,0.805,-0.158,0.866,-0.543789923,32.9,16.611,20.225,,0.0093737487172307,0.0028901853947808,0.3397101115352578
305,China,East Asia,2013,5.241,9.319,0.778,68.08,0.805,-0.158,0.866,-0.543789923,32.9,16.611,20.225,,0.001892435450196,0.000996204321581734,0.3668623112407539
306,China,East Asia,2012,5.095,9.249,0.788,67.92,0.808,-0.185,0.875,-0.53878206,30.1,15.651,18.269,,0.0195493437453371,0.0067437826448194,0.4223716576985828
307,China,East Asia,2012,5.095,9.249,0.788,67.92,0.808,-0.185,0.875,-0.53878206,30.1,15.651,18.269,,0.0387548566416721,0.0129595152289227,0.3949734673285806
308,China,East Asia,2012,5.095,9.249,0.788,67.92,0.808,-0.185,0.875,-0.53878206,30.1,15.651,18.269,,0.0016535084669666,0.0009519182431799444,0.3535335209948927
309,China,East Asia,2011,5.037,9.179,0.787,67.76,0.824,-0.186,0.809,-0.602054834,26.9,14.886,16.535,0.877,0.0245623613714917,0.0087912527332791,0.4240922425537677
310,China,East Asia,2011,5.037,9.179,0.787,67.76,0.824,-0.186,0.809,-0.602054834,26.9,14.886,16.535,0.877,0.0475611979053332,0.0166365375047339,0.3849744698148711
311,China,East Asia,2011,5.037,9.179,0.787,67.76,0.824,-0.186,0.809,-0.602054834,26.9,14.886,16.535,0.877,0.0020288652871636,0.0011047033107511,0.355592260447731
312,China,East Asia,2010,4.653,9.092,0.768,67.6,0.805,-0.133,0.836,-0.657060683,24.7,14.633,15.191,,0.0359346975408163,0.0131659643783281,0.437449533122933
313,China,East Asia,2010,4.653,9.092,0.768,67.6,0.805,-0.133,0.836,-0.657060683,24.7,14.633,15.191,,0.0680761553475181,0.0244943695103767,0.4060788743597547
314,China,East Asia,2010,4.653,9.092,0.768,67.6,0.805,-0.133,0.836,-0.657060683,24.7,14.633,15.191,,0.0027824938244513,0.0014813171859758,0.3574452290224418
316,China,East Asia,2008,4.846,8.911,0.748,67.24,0.853,-0.092,0.82,-0.493088424,21.3,13.471,12.616,,0.0511256305804273,0.0203637667694364,0.4296503847760143
317,China,East Asia,2008,4.846,8.911,0.748,67.24,0.853,-0.092,0.82,-0.493088424,21.3,13.471,12.616,,0.0913271248156193,0.0358470764585323,0.393990501361954
318,China,East Asia,2008,4.846,8.911,0.748,67.24,0.853,-0.092,0.82,-0.493088424,21.3,13.471,12.616,,0.0049447481755173,0.0025775397250444,0.3515430567338123
320,Colombia,Latin America and Caribbean,2018,5.984,9.579,0.871,67.7,0.851,-0.148,0.855,-0.796931744,17.1,22.018,69.266,10.29,0.0178705958475968,0.0109063503298339,0.5041870410395841
321,Colombia,Latin America and Caribbean,2017,6.157,9.569,0.909,67.4,0.838,-0.157,0.875,-0.772707641,17.0,21.308,12.861,10.185,0.0169288146639029,0.0102916911533214,0.497154847772174
322,Colombia,Latin America and Caribbean,2016,6.234,9.571,0.882,67.1,0.835,-0.1,0.898,-0.882459342,16.8,20.57,12.356,10.001,0.0187727499126102,0.0112156773371355,0.5057067710053882
323,Colombia,Latin America and Caribbean,2015,6.388,9.564,0.89,66.8,0.791,-0.1,0.843,-1.069146633,16.1,19.91,11.751,9.812,0.018545693827663,0.0109173916904935,0.5099042092389904
324,Colombia,Latin America and Caribbean,2014,6.449,9.546,0.907,66.58,0.801,-0.09,0.887,-1.114594102,15.9,19.299,11.156,9.496,0.0207848226372203,0.0121697516262131,0.5255101500938344
325,Colombia,Latin America and Caribbean,2013,6.607,9.512,0.901,66.36,0.841,-0.071,0.898,-1.291971803,15.4,18.533,10.523,9.266,0.0231571789867381,0.0134524080380488,0.5263263643056759
326,Colombia,Latin America and Caribbean,2012,6.375,9.471,0.914,66.14,0.828,-0.009,0.868,-1.401810408,14.8,17.854,9.944,9.059,0.0248966429509816,0.014139430910031,0.5264548243482503
327,Colombia,Latin America and Caribbean,2011,6.464,9.442,0.904,65.92,0.811,-0.073,0.847,-1.284655571,14.5,17.264,9.324,8.876,0.0248333607945441,0.0137647642879485,0.534902914485105
328,Colombia,Latin America and Caribbean,2010,6.408,9.384,0.893,65.7,0.816,-0.05,0.815,-1.537184834,14.8,16.642,8.753,8.695,0.0303301613165386,0.0167717885308846,0.5462547660914521
329,Colombia,Latin America and Caribbean,2009,6.272,9.351,0.886,65.58,0.757,-0.055,0.837,-1.832345843,,16.157,8.319,8.579,0.0364268843350836,0.0208263504766845,0.5429641507356222
330,Colombia,Latin America and Caribbean,2008,6.168,9.351,0.88,65.46,0.795,-0.042,0.763,-1.853462338,,15.605,7.849,8.393,0.0439893305402561,0.0258732228162529,0.5532324609763353
344,Congo,Sub-Saharan Africa,2011,4.51,8.18,0.637,54.58,0.745,-0.109,0.833,,,1.577,17.159,0.29,0.1377178887163495,0.0709606246295946,0.4893867053593573
351,Dem. Rep. Congo,Sub-Saharan Africa,2012,4.639,6.832,0.77,50.78,0.557,-0.035,0.807,,,,,,0.3268923036870534,0.1896096781791953,0.4209970921922326
354,Costa Rica,Latin America and Caribbean,2018,7.141,9.874,0.876,71.3,0.942,-0.107,0.781,0.469464213,11.1,28.702,33.864,11.169,0.005826609985572,0.0036798952206299,0.4797240364707306
355,Costa Rica,Latin America and Caribbean,2017,7.225,9.858,0.922,71.1,0.936,-0.076,0.742,0.608825564,11.4,29.989,31.519,10.673,0.0038795963275625,0.0023642933916608,0.4834654060511498
356,Costa Rica,Latin America and Caribbean,2016,7.136,9.83,0.901,70.9,0.873,-0.032,0.781,0.661428332,11.5,28.808,29.774,1.387,0.0051233415661617,0.0031245083362409,0.4870606557466167
357,Costa Rica,Latin America and Caribbean,2015,6.854,9.799,0.878,70.7,0.907,-0.059,0.761,0.682025492,11.6,27.053,26.32,1.436,0.0062644296793896,0.0038994818787094,0.4837614136964541
358,Costa Rica,Latin America and Caribbean,2014,7.247,9.775,0.914,70.5,0.927,0.01,0.788,0.577418208,11.7,26.167,23.698,9.095,0.0062409344323415,0.0037951205914558,0.4863419562304356
359,Costa Rica,Latin America and Caribbean,2013,7.158,9.751,0.902,70.3,0.898,0.018,0.813,0.677918017,11.8,25.159,21.442,9.872,0.0058093296754852,0.0032886094049832,0.4915247098579562
360,Costa Rica,Latin America and Caribbean,2012,7.272,9.74,0.902,70.1,0.929,0.046,0.794,0.638402462,12.0,24.325,20.109,9.509,0.0062344064492958,0.0035856846861168,0.4841902747201342
361,Costa Rica,Latin America and Caribbean,2011,7.229,9.705,0.892,69.9,0.926,-0.033,0.837,0.508276045,12.3,23.483,19.039,,0.0065532583119097,0.0042479198909615,0.4876216570409962
362,Costa Rica,Latin America and Caribbean,2010,7.271,9.675,0.915,69.7,0.881,0.047,0.763,0.691537201,12.4,22.833,18.448,,0.0067393585847998,0.0045066779269556,0.4804596777825963
363,Costa Rica,Latin America and Caribbean,2009,7.615,9.639,0.9,69.76,0.886,0.065,0.787,0.587060392,12.4,21.972,17.468,,0.0114459841733437,0.0074756869986826,0.5056012510835672
364,Costa Rica,Latin America and Caribbean,2008,6.851,9.662,0.916,69.82,0.912,0.096,0.816,0.359765232,12.5,21.391,16.475,,0.0096906198989316,0.0061257315980144,0.4864548201980077
365,Costa Rica,Latin America and Caribbean,2007,7.432,9.63,0.918,69.88,0.923,0.098,0.82,0.582772672,13.0,20.739,15.667,,0.0072647234636908,0.0043098520097982,0.4931429990125016
366,Croatia,Southern Europe,2018,5.536,10.224,0.91,70.2,0.691,-0.151,0.925,0.802806497,,33.83,,,0.0024091317294901,0.0017337911966134,0.2972947360280559
367,Croatia,Southern Europe,2017,5.343,10.189,0.77,69.6,0.716,-0.104,0.892,0.69203192,55.4,33.119,,,0.0031621334250774,0.0025613225010888,0.3035457592767838
368,Croatia,Southern Europe,2016,5.417,10.146,0.798,69.0,0.672,-0.065,0.884,0.663769484,54.9,31.971,80.932,,0.0031625181460728,0.0023810833118329,0.3089972562525938
369,Croatia,Southern Europe,2015,5.205,10.104,0.768,68.4,0.694,-0.096,0.849,0.590728045,55.6,31.564,61.601,7.866,0.0035045407635366,0.0026533510272702,0.3111531483989218
370,Croatia,Southern Europe,2014,5.381,10.072,0.646,68.3,0.519,0.132,0.918,0.619112372,59.1,31.05,61.008,7.766,0.0054597892288149,0.0042110371544482,0.3210714892294795
371,Croatia,Southern Europe,2013,5.885,10.069,0.751,68.2,0.627,-0.204,0.936,0.64266789,58.6,29.952,61.299,7.485,0.0044312369253309,0.0032963636509923,0.3199548523535689
372,Croatia,Southern Europe,2012,6.028,10.072,0.776,68.1,0.542,-0.242,0.924,0.606891453,58.9,29.486,59.719,7.441,0.0048449367525883,0.0036558967552556,0.3247515039306038
373,Croatia,Southern Europe,2011,5.385,10.091,0.79,68.0,0.517,-0.198,0.977,0.62374711,58.4,28.701,58.562,7.266,0.0035143424360209,0.0027926592779515,0.3225743432948403
374,Croatia,Southern Europe,2010,5.596,10.091,0.796,67.9,0.564,-0.237,0.973,0.608463645,57.8,28.164,57.225,7.229,0.0,0.0,0.2735410120780502
375,Croatia,Southern Europe,2010,5.596,10.091,0.796,67.9,0.564,-0.237,0.973,0.608463645,57.8,28.164,57.225,7.229,0.0087934733644481,0.0075542133478304,0.3237977226368614
376,Croatia,Southern Europe,2009,5.433,10.104,0.861,67.64,0.549,-0.271,0.958,0.61292696,55.3,26.957,55.227,7.515,7.241707456126686e-06,1.523547399551077e-07,0.3318334812074659
377,Croatia,Southern Europe,2009,5.433,10.104,0.861,67.64,0.549,-0.271,0.958,0.61292696,55.3,26.957,55.227,7.515,0.0064448926580304,0.0055185267856525,0.3255882247858945
379,Cyprus,Western Asia,2018,6.276,10.567,0.826,73.7,0.794,-0.022,0.848,0.491742969,,29.078,,7.844,0.00016506580524985675,0.00016506580524985675,0.3273986095056375
380,Cyprus,Western Asia,2017,6.062,10.539,0.819,73.5,0.812,0.043,0.851,0.53786546,34.0,27.513,,,0.00012018176246945744,4.8883348469217606e-05,0.3141623400087115
381,Cyprus,Western Asia,2016,5.795,10.506,0.786,73.3,0.756,-0.03,0.898,0.604254723,34.3,19.058,51.298,,0.0002477985375883603,0.00018955819905902064,0.3289179537781579
382,Cyprus,Western Asia,2015,5.439,10.445,0.77,73.1,0.628,0.114,0.893,0.550866485,34.2,25.655,39.451,7.378,4.625789225356479e-06,7.984946788609598e-08,0.3396637799607745
383,Cyprus,Western Asia,2014,5.627,10.406,0.77,72.96,0.715,0.06,0.868,0.551882088,34.2,24.469,38.309,7.128,0.0005851373230705831,0.0005334890075218656,0.3556565297299039
384,Cyprus,Western Asia,2013,5.439,10.414,0.744,72.82,0.656,0.102,0.867,0.563347161,34.1,23.599,37.883,7.104,0.0003389136169173754,0.00026088253615647424,0.3704199291671628
385,Cyprus,Western Asia,2012,6.181,10.479,0.767,72.68,0.725,0.098,0.871,0.635126054,34.6,22.532,35.501,7.055,5.39948342222546e-06,6.879613327322344e-07,0.3431243343540633
386,Cyprus,Western Asia,2011,6.69,10.53,0.844,72.54,0.745,0.18,0.841,0.607984483,35.1,22.085,36.224,6.838,5.859329884869652e-05,4.894070137397516e-05,0.3262552444524061
387,Cyprus,Western Asia,2010,6.387,10.551,0.822,72.4,0.755,0.073,0.833,0.452444822,35.7,21.236,34.93,6.834,0.00022151996893703907,0.00022148006289664005,0.3145792856269421
388,Cyprus,Western Asia,2009,6.833,10.558,0.812,72.16,0.775,0.054,0.801,0.390287489,37.6,20.819,34.248,6.814,0.000922730265971873,0.000911948578317894,0.3210884693328554
389,Czechia,Central and Eastern Europe,2018,7.034,10.583,0.929,70.3,0.79,-0.292,0.851,,66.2,40.741,89.891,7.446,5.605230808925419e-05,3.737768227042905e-05,0.2499034080105021
390,Czechia,Central and Eastern Europe,2017,6.79,10.558,0.901,69.8,0.832,-0.177,0.867,,66.3,,89.282,7.521,0.0,0.0,0.2485220974651264
391,Czechia,Central and Eastern Europe,2016,6.736,10.518,0.931,69.3,0.85,-0.197,0.9,,66.6,,83.308,7.556,0.0,0.0,0.2540633291650931
392,Czechia,Central and Eastern Europe,2015,6.608,10.496,0.911,68.8,0.808,-0.146,0.886,,66.7,,84.327,8.04,7.835794744425818e-05,7.005487951128885e-05,0.2586743298006775
393,Czechia,Central and Eastern Europe,2014,6.484,10.446,0.878,68.66,0.8,-0.168,0.897,,66.8,,83.465,7.517,0.0,0.0,0.2592322089671913
394,Czechia,Central and Eastern Europe,2013,6.698,10.42,0.888,68.52,0.726,-0.156,0.916,,67.0,36.878,84.097,7.063,0.00023032951472372416,0.00012733219428769595,0.2647390334971927
395,Czechia,Central and Eastern Europe,2012,6.334,10.426,0.912,68.38,0.74,-0.154,0.957,,69.3,36.746,84.827,7.098,0.00025789332609162867,0.00021267722049686213,0.2611001752956207
396,Czechia,Central and Eastern Europe,2011,6.331,10.435,0.914,68.24,0.787,-0.106,0.95,,70.6,36.366,84.607,7.078,0.0002104766438968202,0.0001560647680368376,0.2638134306595536
397,Czechia,Central and Eastern Europe,2010,6.25,10.419,0.934,68.1,0.779,-0.042,0.926,,73.0,35.989,85.27,6.94,0.0001077358367256383,3.623062046333126e-05,0.2662351375027597
398,Czechia,Central and Eastern Europe,2007,6.5,10.437,0.9,67.44,0.799,-0.063,0.928,,73.3,35.612,84.147,6.721,0.0004713192905278336,0.00024149643182147035,0.2599868937473719
399,Denmark,Western Europe,2018,7.649,10.935,0.958,72.4,0.935,0.018,0.151,0.946250618,24.3,42.149,105.088,7.217,0.0014259639219301,0.0013914563072189,0.2816633619443917
400,Denmark,Western Europe,2017,7.594,10.916,0.952,72.1,0.955,0.155,0.181,0.868414879,26.1,41.289,104.298,7.218,0.0008884485601291222,0.0007070023024189734,0.2874666138000177
401,Denmark,Western Europe,2016,7.558,10.903,0.954,71.8,0.948,0.138,0.21,0.867915452,26.0,40.134,103.275,7.445,0.0020264733251702,0.0015590058804155,0.2818744072592858
402,Denmark,Western Europe,2015,7.514,10.878,0.96,71.5,0.941,0.222,0.191,0.897649825,25.3,39.337,102.61,7.614,0.0014019249971942,0.0011649658506556,0.2817744646029746
403,Denmark,Western Europe,2014,7.508,10.862,0.956,71.28,0.942,0.118,0.237,0.951779723,26.9,38.723,102.46,7.691,0.0008453102853285804,0.0005738819199438441,0.2835287915948953
404,Denmark,Western Europe,2013,7.589,10.851,0.965,71.06,0.92,0.215,0.17,0.959233463,30.7,38.415,102.556,7.813,0.0027413051586014,0.0025501996200973,0.2854376286566806
405,Denmark,Western Europe,2012,7.52,10.846,0.951,70.84,0.933,0.139,0.187,0.914910674,,38.307,102.476,7.954,0.0,0.0,0.2779075050858862
406,Denmark,Western Europe,2011,7.788,10.848,0.962,70.62,0.935,0.298,0.22,1.10029304,31.3,37.853,101.564,8.015,0.0,0.0,0.2731174610785308
407,Denmark,Western Europe,2010,7.771,10.839,0.975,70.4,0.944,0.242,0.175,1.040961027,35.0,37.236,101.05,8.186,2.1044104954961853e-05,7.729505477412877e-07,0.2719855922149723
408,Denmark,Western Europe,2009,7.683,10.824,0.939,70.24,0.949,0.264,0.206,1.001182675,34.9,36.484,100.742,8.061,0.0013411246846092,0.0009471148924065496,0.2670156013173982
409,Denmark,Western Europe,2008,7.971,10.88,0.954,70.08,0.97,0.272,0.248,1.065386772,35.7,35.733,98.076,8.201,0.0006981583631274605,0.0005308668807634262,0.2524650079001688
410,Denmark,Western Europe,2007,7.834,10.891,0.954,69.92,0.932,0.24,0.206,1.118189216,36.9,34.465,95.235,8.373,2.852342752254222e-05,5.847045272354472e-06,0.2618425902975039
415,Dominican Rep.,Latin America and Caribbean,2018,5.433,9.782,0.862,65.8,0.867,-0.15,0.762,0.023920313,,13.919,13.487,2.171,0.0019533089507723,0.0009068747956978146,0.4368666211283077
416,Dominican Rep.,Latin America and Caribbean,2017,5.605,9.725,0.894,65.5,0.855,-0.121,0.76,0.160588473,15.6,,11.245,2.124,0.0034740567297357,0.0022833704811624,0.4219561529215669
417,Dominican Rep.,Latin America and Caribbean,2016,5.239,9.691,0.895,65.2,0.873,-0.08,0.737,0.252106041,14.4,,11.039,,0.0060826441501295,0.0030579021152394,0.4572391711009632
418,Dominican Rep.,Latin America and Caribbean,2015,5.062,9.637,0.893,64.9,0.856,-0.065,0.755,0.236706421,15.8,,12.482,,0.0063719762214047,0.0026435267215329,0.451816363982718
419,Dominican Rep.,Latin America and Caribbean,2014,5.387,9.582,0.891,64.68,0.905,-0.02,0.76,0.145934492,17.9,,12.493,,0.0077741699179654,0.0030390778312567,0.4428003183804665
420,Dominican Rep.,Latin America and Caribbean,2013,5.016,9.525,0.878,64.46,0.889,0.021,0.752,0.207428694,17.9,,12.399,,0.0075499669909371,0.0029283994384996,0.4765639328299531
421,Dominican Rep.,Latin America and Caribbean,2012,4.753,9.489,0.879,64.24,0.84,-0.062,0.727,0.252366811,17.4,,,,0.0097614556526664,0.0040364975917092,0.4613375308348997
422,Dominican Rep.,Latin America and Caribbean,2011,5.397,9.475,0.872,64.02,0.848,0.014,0.788,-0.00048185,17.4,15.129,13.504,1.929,0.0104238286470538,0.0043560672662378,0.477069049801749
423,Dominican Rep.,Latin America and Caribbean,2010,4.735,9.456,0.86,63.8,0.824,-0.075,0.78,-0.044954035,15.9,,,,0.0093135904491122,0.0036771834871563,0.4732659934143601
424,Dominican Rep.,Latin America and Caribbean,2009,5.432,9.388,0.878,63.52,0.863,-0.053,0.806,-0.002735103,14.4,,13.149,1.85,0.0121958305172793,0.0049351554984746,0.4887584121531403
425,Dominican Rep.,Latin America and Caribbean,2008,4.842,9.391,0.85,63.24,0.848,-0.045,0.728,-0.03800771,15.7,10.905,,1.265,0.0145061797360855,0.0061293370402685,0.4810916903495268
426,Dominican Rep.,Latin America and Caribbean,2007,5.081,9.372,0.848,62.96,0.886,-0.008,0.772,-0.07857246,12.2,,,,0.017423298877423,0.0080750639881719,0.4885937153980055
427,Ecuador,Latin America and Caribbean,2018,6.128,9.355,0.851,68.5,0.869,-0.099,0.831,-0.089277692,,,25.16,,0.0101173296598361,0.0050794244597569,0.454402995804359
428,Ecuador,Latin America and Caribbean,2017,5.84,9.36,0.849,68.2,0.879,-0.167,0.734,-0.074853867,,22.317,28.415,3.016,0.0105540502232838,0.0054799167845831,0.4467302953254211
429,Ecuador,Latin America and Caribbean,2016,6.115,9.355,0.842,67.9,0.846,-0.015,0.774,-0.085357964,13.9,20.432,28.629,3.189,0.012485417072262,0.0065523316475313,0.4502006878134656
430,Ecuador,Latin America and Caribbean,2015,5.964,9.384,0.856,67.6,0.801,-0.114,0.666,-0.143955871,15.7,20.668,25.149,5.288,0.0123129977639281,0.0066888443568703,0.4595429485500615
431,Ecuador,Latin America and Caribbean,2014,5.946,9.399,0.831,67.44,0.719,-0.167,0.661,-0.018533209,15.5,,21.923,,0.0082246034814162,0.0042021871398806,0.4499504956002738
432,Ecuador,Latin America and Caribbean,2013,6.019,9.377,0.801,67.28,0.787,-0.191,0.646,-0.178656712,15.1,,19.442,,0.0103197242777149,0.0052239664195056,0.4686490305204818
433,Ecuador,Latin America and Caribbean,2012,5.961,9.344,0.785,67.12,0.825,-0.084,0.73,-0.57030648,15.0,,,,0.015343047440406,0.0080791249259827,0.4611232481441923
434,Ecuador,Latin America and Caribbean,2011,5.795,9.304,0.818,66.96,0.788,-0.155,0.702,-0.686557531,16.2,16.588,20.761,2.745,0.0175182897241232,0.0102654890799675,0.4587748191885761
435,Ecuador,Latin America and Caribbean,2010,5.838,9.244,0.839,66.8,0.723,-0.063,0.806,-0.586674452,15.9,21.141,16.618,,0.0192710208459659,0.0101980087780127,0.4880443393926081
436,Ecuador,Latin America and Caribbean,2009,6.022,9.225,0.779,66.62,0.737,-0.108,0.774,-0.673675776,,16.017,18.832,2.281,0.0258133801810811,0.01395264010521,0.4850599010136336
437,Ecuador,Latin America and Caribbean,2008,5.297,9.236,0.829,66.44,0.64,-0.094,0.801,-0.728682399,,,,,0.0290294465050157,0.0165917644534877,0.4979346963664921
438,Ecuador,Latin America and Caribbean,2007,4.996,9.191,0.839,66.26,0.67,-0.063,0.83,-0.815987229,,,,,0.0319145941161045,0.0179205099028782,0.5336345081612023
440,Egypt,Northern Africa,2017,3.929,9.307,0.638,61.4,0.593,-0.152,0.199,,14.3,7.573,18.258,1.878,0.0039981691785542,0.0010285861294859,0.3153395276940044
442,Egypt,Northern Africa,2015,4.763,9.266,0.73,60.8,0.659,-0.089,0.684,,15.6,7.773,18.363,1.727,0.0010243304634385,0.0002343586961400704,0.3182335813028051
445,Egypt,Northern Africa,2012,4.204,9.24,0.737,60.32,0.452,-0.138,0.88,,5.2,,,,0.001092134007663,0.0002277319232411399,0.2829220277302157
447,Egypt,Northern Africa,2010,4.669,9.244,0.769,60.0,0.486,-0.076,0.826,,17.3,,,,0.0013577291622813,0.00031795376278901977,0.3019145769797163
449,Egypt,Northern Africa,2008,4.632,9.186,0.738,59.88,0.85,-0.087,0.914,,20.8,,,,0.0042393280232102,0.0010254954180729,0.3110243606379493
451,El Salvador,Latin America and Caribbean,2018,6.241,9.061,0.82,66.1,0.863,-0.095,0.801,-0.387688458,,29.36,18.766,8.9,0.0038830591615982,0.0013671623654842,0.3861057120065728
452,El Salvador,Latin America and Caribbean,2017,6.339,9.042,0.829,65.8,0.758,-0.172,0.778,-0.260043442,12.0,,18.731,,0.00474081623907,0.0016121323092934,0.3800718790983762
453,El Salvador,Latin America and Caribbean,2016,6.14,9.025,0.794,65.5,0.8,-0.185,0.797,-0.099291369,10.6,,18.344,1.453,0.0058875281767241,0.0020599063519055,0.3997858016920802
454,El Salvador,Latin America and Caribbean,2015,6.018,9.005,0.791,65.2,0.733,-0.156,0.805,-0.016997365,10.2,,17.848,,0.0047742525306573,0.001586384287845,0.405519418377429
455,El Salvador,Latin America and Caribbean,2014,5.857,8.986,0.798,65.0,0.778,-0.194,0.781,-0.024590004,13.5,,17.834,,0.0076408260363057,0.0026963427709061,0.4155984144442802
456,El Salvador,Latin America and Caribbean,2013,6.325,8.974,0.827,64.8,0.716,-0.15,0.772,-0.033658903,10.7,,17.98,,0.0086586045127968,0.0031309552314812,0.4335896299898032
457,El Salvador,Latin America and Caribbean,2012,5.934,8.956,0.806,64.6,0.683,-0.155,0.786,0.234583974,10.7,,,,0.0111731524533281,0.0041295052047259,0.4182927684598858
458,El Salvador,Latin America and Caribbean,2011,4.741,8.933,0.731,64.4,0.747,-0.126,0.707,0.111001194,10.3,,,,0.0125031389578748,0.0045093885483256,0.4231836001767365
459,El Salvador,Latin America and Caribbean,2010,6.74,8.9,0.757,64.2,0.669,-0.064,0.694,0.058842227,,,,,0.0161711630288949,0.0064314252040514,0.4351412842323908
460,El Salvador,Latin America and Caribbean,2009,6.839,8.883,0.734,63.88,0.671,-0.103,0.648,-0.007116277,,,,,0.0198866145951711,0.0079330894630339,0.4582508607113158
461,El Salvador,Latin America and Caribbean,2008,5.191,8.908,0.747,63.56,0.636,-0.078,0.735,0.039393112,,19.021,,7.694,0.020377020820398,0.0081755854184182,0.4688567901673587
462,El Salvador,Latin America and Caribbean,2007,5.296,8.887,0.717,63.24,0.639,-0.015,0.785,-0.007270731,,,13.815,,0.0127664563801551,0.0049742351433524,0.4521799419979481
463,Estonia,Northern Europe,2018,6.091,10.472,0.933,68.6,0.886,-0.141,0.621,0.587392688,45.7,34.831,66.357,9.659,0.0019891452764338,0.0018407306069746,0.3032145132574511
464,Estonia,Northern Europe,2017,5.938,10.429,0.936,68.4,0.862,-0.101,0.668,0.649775386,46.9,34.679,65.366,9.602,0.0017970859651445,0.0014545084064758,0.3035502623933823
465,Estonia,Northern Europe,2016,5.65,10.374,0.938,68.2,0.843,-0.149,0.639,0.673907757,47.6,34.562,64.359,9.552,0.0031337898313825,0.0027137340999907,0.311968259270128
466,Estonia,Northern Europe,2015,5.629,10.348,0.918,68.0,0.815,-0.164,0.569,0.620919824,49.6,34.167,63.551,9.424,0.0040581616575481,0.0032970733405862,0.3267032993155649
467,Estonia,Northern Europe,2014,5.556,10.331,0.917,67.74,0.773,-0.153,0.652,0.780257881,50.1,33.61,60.806,9.304,0.0048978505825835,0.0042302843693404,0.3459155633335024
468,Estonia,Northern Europe,2013,5.367,10.299,0.901,67.48,0.754,-0.201,0.726,0.748215437,50.1,33.346,59.628,9.029,0.0062514558819322,0.0052711812477265,0.3507978511887406
469,Estonia,Northern Europe,2012,5.364,10.282,0.889,67.22,0.697,-0.192,0.793,0.636465192,55.3,32.834,64.603,9.042,0.0038444349786663,0.0029254975016926,0.3291576051057381
470,Estonia,Northern Europe,2011,5.487,10.248,0.909,66.96,0.735,-0.168,0.687,0.611041307,53.6,32.937,65.27,8.882,0.0056583849527585,0.0043781847131757,0.3249163323213634
471,Estonia,Northern Europe,2009,5.138,10.144,0.874,66.24,0.611,-0.23,0.793,0.567619026,53.7,32.804,64.476,8.961,0.0025546978244833,0.001655517157088,0.3144361223785004
472,Estonia,Northern Europe,2008,5.452,10.298,0.904,65.78,0.642,-0.217,0.663,0.571973562,56.3,33.426,67.158,9.252,0.0024104016079669,0.0020379571475989,0.3191707808349102
473,Estonia,Northern Europe,2007,5.332,10.347,0.896,65.32,0.712,-0.246,0.743,0.634109557,54.8,32.597,67.022,8.683,0.0026414467169698,0.0021532175535883,0.311801582049951
477,Ethiopia,Sub-Saharan Africa,2015,4.573,7.484,0.626,57.0,0.803,0.113,0.567,-1.498187423,,,,,0.0760315309649557,0.0315936388432807,0.3499312323123417
481,Finland,Western Europe,2018,7.858,10.783,0.962,71.9,0.938,-0.127,0.199,0.908358991,36.1,34.802,139.942,7.169,0.0004694383623608985,0.0004244036748273895,0.2732977282956268
482,Finland,Western Europe,2017,7.788,10.768,0.964,71.8,0.962,-0.002,0.192,1.080909133,32.8,34.605,136.922,7.177,0.000619836589980528,0.000594644727176386,0.2738308541859644
483,Finland,Western Europe,2016,7.66,10.74,0.954,71.7,0.948,-0.027,0.25,0.999086499,39.7,34.203,133.835,7.268,0.00028916777804295103,0.0002453754769156424,0.2707848436970798
484,Finland,Western Europe,2015,7.448,10.716,0.948,71.6,0.93,0.111,0.223,1.040587306,43.5,34.208,133.472,7.305,0.0005600411965996664,0.0005264778735989736,0.2710204232618408
485,Finland,Western Europe,2014,7.385,10.714,0.952,71.36,0.933,-0.001,0.265,1.282197237,45.3,34.477,132.559,7.288,0.0004383190978925694,0.0003885240141084035,0.2677697598746836
486,Finland,Western Europe,2013,7.445,10.722,0.941,71.12,0.919,0.04,0.306,1.385172486,48.7,33.865,130.297,7.198,0.0006529788425231045,0.0005943431560498506,0.2719395885396505
487,Finland,Western Europe,2012,7.42,10.735,0.928,70.88,0.921,-0.001,0.361,1.400765181,53.0,35.557,128.684,7.364,0.0004875215394864343,0.0004766732644958618,0.2709663044268671
488,Finland,Western Europe,2011,7.354,10.754,0.938,70.64,0.936,0.101,0.32,1.393471003,55.2,35.427,125.851,7.31,0.0003987409635918937,0.0003629452694819942,0.2764281936182179
489,Finland,Western Europe,2010,7.393,10.734,0.935,70.4,0.916,0.091,0.413,1.423606873,58.5,34.399,123.681,7.333,0.0003056841537915444,0.000271409208790543,0.2771408798561746
